ID_Pregunta,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_Correcta,Comentario,Estado,ID_Video,ID_Area,ID_Tema
PREG001, Caso: Un estudiante diseña un sistema de transmisión para una mezcladora industrial donde los ejes de entrada y salida están a 90°. ¿Que tipo de engranaje es el mas adecuado?, Engranaje Recto, Engranaje helicoidal, no aplica, Engranaje Conico, no aplica,Activo, no aplica,AR1C2,TEM01
PREG002, Caso: Para un brazo robótico y se necesita un sistema que convierta un movimiento rotatorio en lineal con alta precisión. ¿Que mecanismo es el mas adecuado?,Polea y cable, Banda Sincrona, no aplica, Piñon y cremallera, no aplica,Activo, no aplica,AR1C2,TEM01
PREG003, Caso: Una maquina troqueladora se requiere un sistema que reduzca velocidad y aumente torque ¿Que componente mecanico se debe utilizar?,Leva y seguidor, Correa trapezoidal,  no aplica, Tren de engranajes reductores, no aplica,Activo, no aplica,AR1C2,TEM01
PREG004, Caso: Un estudiante desarrolla una plataforma que debe soportar cargas radiales y axiales de forma alternada. ¿Qué tipo de rodamiento debe seleccionar?,Rodamiento de agujas, Cojinete liso, no aplica, Rodamiento de bolas de contacto angular, no aplica,Activo, no aplica,AR1C2,TEM01
PREG005, Caso: Un equipo requiere unir dos ejes con ligera desalineación angular y transmitir par de torsión. ¿Qué tipo de acoplamiento es más adecuado?, Junta universal, acomplamiento rigido, no aplica, acomplamiento flexible, no aplica,Activo, no aplica,AR1C2,TEM01
PREG006, Caso: Para un prototipo de caminadora robótica y se busca un material estructural liviano pero resistente. ¿Cuál de los siguientes es el más apropiado?,Plástico ABS, Hierro fundido, no aplica, Aleacion de aluminio, no aplica,Activo, no aplica,AR1C2,TEM01
PREG007, Caso: En una aplicación donde se requiere amortiguar vibraciones en un sistema mecánico. ¿Qué elemento es más útil?,Resortes helicoidales , Ejes de acero solido, no aplica, Montajes con aisladores de goma, no aplica,Activo, no aplica,AR1C2,TEM01
PREG008, Caso: En una banda transportadora y se necesita controlar el flujo de objetos por fricción. ¿Qué parámetro es clave en el diseño del contacto entre rodillos y banda?,Diámetro del eje, Velocidad angular, no aplica, Coeficiente de friccion, no aplica,Activo, no aplica,AR1C2,TEM01
PREG009, Caso: Un mecanismo de leva acciona una válvula neumática con perfil sinusoidal. ¿Qué beneficio aporta ese perfil al sistema?,Reducción de torque, Mayor fuerza de impacto, no aplica, Movimiento suave y continuo, no aplica,Activo, no aplica,AR1C2,TEM01
PREG010, Caso: Una máquina de corte opera con movimientos cíclicos y precisa alta durabilidad en la articulación.¿Qué tipo de unión es más conveniente?,Adhesivo epóxico, Soldadura MIG, no aplica, Union con pasadores cilindricos, no aplica,Activo, no aplica,AR1C2,TEM01
PREG011, Caso: Un estudiante diseña un sistema de control de temperatura con un termistor NTC y necesita convertir la variación de resistencia en una señal de voltaje para leerla con un microcontrolador. ¿Qué circuito debe emplear? ,Comparador de ventana, Amplificador operacional en modo inversor, no aplica, Divisor de voltaje, no aplica,Activo, no aplica,AR1C2,TEM02
PREG012, Caso: Se requiere que un sistema digital almacene un estado lógico (1 o 0) hasta que llegue una nueva señal. ¿Qué componente se debe emplear?,  Contador binario, Multiplexor, no aplica, Flip-Flop tipo D, no aplica,Activo, no aplica,AR1C2,TEM02
PREG013, Caso: Se desea controlar la velocidad de un motor de corriente directa de 24 V mediante una señal digital desde un microcontrolador de 5 V. ¿Qué dispositivo de potencia es más adecuado?, Transformador, Puente rectificador, no aplica, MOSFET de canal N, no aplica,Activo, no aplica,AR1C2,TEM02
PREG014, Caso: En una fuente conmutada se necesita reducir un voltaje de 24V a 5V para alimentar sensores digitales. ¿Qué circuito se debe utilizar?,Rectificador de onda completa, Regulador lineal 7805, no aplica, Regulador Conmutado tipo buck, no aplica,Activo, no aplica,AR1C2,TEM02
